Qty,Description,Unit Cost,Sum Cost,Link
1,OpenAg Brain Box Prototype,1103.15,1103.15,https://github.com/OpenAgInitiative/openag_brain_box/blob/master/documentation/BOM.csv
1,Clear Food Storage Box 18in x 26in x 15in,44.53,44.53,http://www.webstaurantstore.com/cambro-182615cw135-clear-camwear-clear-polycarbonate-food-storage-box-18-x-26-x-15/214182615CWC.html
1,18in x 26in Clear Flat Lid for Food Storage Box,13.13,13.13,http://www.webstaurantstore.com/cambro-1826ccw135-camwear-18-x-26-clear-flat-lid-for-food-storage-box/2141826CCWCL.html
1,48in x 10ft Reflectix Insulation,26.53,26.53,https://www.amazon.com/Reflectix-BP48010-48-Inch-10-Feet-Insulation/dp/B000BPAULS/ref=sr_1_2?ie=UTF8&qid=1490134648&sr=8-2&keywords=reflectix
1,1.9in x 150ft Aluminum Foil Tape,10.99,10.99,https://www.amazon.com/Aluminum-Tape-Foil-Ducts-Insulation/dp/B01FROBUXE/ref=sr_1_5?ie=UTF8&qid=1490134869&sr=8-5&keywords=aluminum+tape
1,1/2inx15ft Clear VHB Tape,14.38,14.38,https://www.amazon.com/3M-Scotch-4910-VHB-Tape/dp/B00I4E4HPI/ref=sr_1_3?ie=UTF8&qid=1490134350&sr=8-3&keywords=clear+vhb
1,6-Outlet White Power Strip,8.99,8.99,https://www.amazon.com/gp/product/B00TP1C1UC/ref=ox_sc_act_title_1?ie=UTF8&psc=1&smid=A2Q1LRYTXHYQ2K
1,Blower - Squirrel Cage (12V),4.95,4.95,https://www.sparkfun.com/products/11270
1,DC 12V 2A Power Supply Adapter,7.99,7.99,https://www.amazon.com/Adapter-100-240V-Transformers-Switching-Adaptor/dp/B019Q3U72M/ref=b2b_gw_d_bia_228013_a1_0_p/157-4800587-4501430?ie=UTF8&pd_rd_i=B019Q3U72M&pd_rd_r=1GHF7JJNHHC11MTQGH5X&pd_rd_w=UQjjD&pd_rd_wg=JdXVU&pf_rd_i=b2b-desktop&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=1GHF7JJNHHC11MTQGH5X&pf_rd_t=ABGateway&refRID=1GHF7JJNHHC11MTQGH5X
1,Reptile Fogger Terrarium Humidifier,42.25,42.25,https://www.amazon.com/gp/product/B0019IJXD2/ref=ox_sc_act_title_1?ie=UTF8&psc=1&smid=A2WEJLCAOIFG4U
1,<pvc fitting for detatching humidifier tube>,,,
2,2 Position Rectangular Housing Connector Plug,0.33,0.66,http://www.digikey.com/products/en?keywords=WM1030-ND
4,Contact Crimp Pin 16 AWG Tin,0.26,1.04,http://www.digikey.com/products/en?keywords=WM1016-ND
1,48in x 20.75in Seedling Heat Mat,44.51,44.51,https://www.amazon.com/Jump-Start-MT10009-48x20-75-Seedling/dp/B000E3B8XG/ref=sr_1_2?ie=UTF8&qid=1490135553&sr=8-2&keywords=seedling+heat+mat+48+20
1,BlinkStick Flex USB Controlled RGB LED Strip,32.41,32.41,https://www.blinkstick.com/products/blinkstick-flex#mini-shop
2,Reusable Adhesive Mount Cable Tie 4-5/8in Long,0.59,1.18,https://www.mcmaster.com/#7565k56/=16utzgl
1,<cable gland>,,,
1,Pack of Silver Snap Buttons,9.99,9.99,https://www.amazon.com/CrazyEve-Leathercraft-Gunmetal-Fasteners-Clothing/dp/B01CM5X4U8/ref=sr_1_3?ie=UTF8&qid=1490138060&sr=8-3&keywords=snap%2Bbuttons&th=1
1,Tube of RTV Silicone Sealant,5.88,5.88,https://www.amazon.com/Silicone-Grade-Strength-Sealant-Clear/dp/B01F9HCDCQ/ref=sr_1_1?ie=UTF8&qid=1490138232&sr=8-1&keywords=food+safe+silicone+sealant
